window,timestamp_s,predicted_class,confidence,p_clean,p_jam_am,p_jam_chirp,p_jam_dme,p_jam_fm,p_jam_narrowband,p_spoof_dynamic,p_spoof_matched_time,p_spoof_overpowered_gradual,p_spoof_overpowered_instant,p_spoof_position_push,preproc_gpu_ms,infer_gpu_ms,pipeline_ms
22,1.458,clean,0.478180,0.478180,0.002718,0.002985,0.043698,0.008062,0.017441,0.113781,0.013645,0.023122,0.262264,0.034106,18.892,4.448,23.899
23,1.513,clean,0.488506,0.488506,0.002720,0.002342,0.065261,0.007751,0.011404,0.102047,0.012385,0.020001,0.261007,0.026576,19.550,4.446,24.555
24,1.568,clean,0.499648,0.499648,0.002498,0.002751,0.040299,0.007316,0.016526,0.110254,0.011969,0.022402,0.254833,0.031504,18.643,4.426,23.633
25,1.622,clean,0.446495,0.446495,0.002600,0.001984,0.077636,0.007465,0.007069,0.091557,0.011745,0.014996,0.317244,0.021211,18.482,4.434,23.470
26,1.676,clean,0.499834,0.499834,0.002813,0.003278,0.032923,0.006924,0.019285,0.109463,0.012783,0.024085,0.251822,0.036790,18.438,4.459,23.466
27,1.730,clean,0.505183,0.505183,0.002781,0.003289,0.033972,0.006753,0.019265,0.108571,0.011842,0.023340,0.250230,0.034773,18.692,4.448,23.700
28,1.784,clean,0.492260,0.492260,0.002601,0.002781,0.042562,0.007101,0.014385,0.107366,0.013112,0.021710,0.264198,0.031924,18.539,4.452,23.545
29,1.838,clean,0.466427,0.466427,0.002226,0.001643,0.078384,0.006653,0.005926,0.082858,0.010054,0.012636,0.315366,0.017827,18.333,4.437,23.335
30,1.891,clean,0.448629,0.448629,0.002711,0.003192,0.041081,0.007493,0.014044,0.101927,0.012880,0.020085,0.319000,0.028958,18.312,4.441,23.315
31,1.944,clean,0.499142,0.499142,0.002530,0.002623,0.042832,0.007220,0.015229,0.113384,0.012232,0.021852,0.249055,0.033901,18.337,4.429,23.325
32,1.998,clean,0.487307,0.487307,0.002627,0.002699,0.047890,0.008185,0.015979,0.111574,0.012775,0.022162,0.255342,0.033459,18.313,4.439,23.310
33,2.051,clean,0.473646,0.473646,0.002399,0.001798,0.082048,0.006991,0.006814,0.080038,0.014580,0.012753,0.299446,0.019487,18.295,4.463,23.369
34,2.105,clean,0.491690,0.491690,0.002600,0.002683,0.045344,0.007305,0.013661,0.112646,0.011559,0.022395,0.257969,0.032148,18.369,4.459,23.401
35,2.160,clean,0.470561,0.470561,0.002108,0.001981,0.056917,0.006368,0.007520,0.091101,0.010302,0.014453,0.318148,0.020541,19.529,4.465,24.609
36,2.215,clean,0.474805,0.474805,0.002715,0.002724,0.059792,0.008460,0.012557,0.098513,0.015078,0.019529,0.275977,0.029849,18.838,4.495,23.922
37,2.269,clean,0.464330,0.464330,0.002392,0.002073,0.070753,0.006912,0.007399,0.085106,0.013895,0.013545,0.313544,0.020051,18.662,4.454,23.732
38,2.324,clean,0.501050,0.501050,0.002394,0.002471,0.048302,0.006970,0.012586,0.099500,0.013190,0.018779,0.266527,0.028230,19.444,4.484,24.512
39,2.378,clean,0.497913,0.497913,0.002493,0.002460,0.052070,0.007430,0.013013,0.104799,0.011972,0.019494,0.257668,0.030687,18.223,4.507,23.305
40,2.432,clean,0.497108,0.497108,0.002503,0.002572,0.048136,0.007213,0.013063,0.104827,0.012125,0.019673,0.263659,0.029122,18.277,4.526,23.372
41,2.496,clean,0.489601,0.489601,0.002955,0.002935,0.046083,0.007219,0.014646,0.119026,0.013189,0.023763,0.244014,0.036570,23.245,4.484,28.373
42,2.550,clean,0.506261,0.506261,0.003025,0.003439,0.037027,0.007623,0.021797,0.111396,0.013261,0.025601,0.230115,0.040455,19.506,4.479,24.627
43,2.605,clean,0.517812,0.517812,0.002696,0.003442,0.022471,0.005829,0.021796,0.099475,0.009684,0.025428,0.251980,0.039386,20.123,4.495,25.287
44,2.658,clean,0.516694,0.516694,0.002960,0.003459,0.027079,0.006741,0.025166,0.105028,0.010307,0.027170,0.232636,0.042761,18.512,4.444,23.523
45,2.711,clean,0.568122,0.568122,0.002419,0.003237,0.020162,0.005262,0.025008,0.097232,0.008032,0.023263,0.210325,0.036939,18.324,4.502,23.387
46,2.764,clean,0.570139,0.570139,0.002575,0.004405,0.011572,0.004882,0.034482,0.083630,0.006386,0.027779,0.210922,0.043227,18.494,4.464,23.549
47,2.817,clean,0.615531,0.615531,0.002211,0.004430,0.009015,0.004434,0.043398,0.071995,0.006588,0.024867,0.178603,0.038927,18.314,4.461,23.351
48,2.870,clean,0.633859,0.633859,0.001973,0.004422,0.007549,0.004077,0.044500,0.068213,0.005515,0.023090,0.170047,0.036754,18.556,4.449,23.612
49,2.923,clean,0.631321,0.631321,0.001923,0.004711,0.006525,0.003897,0.047135,0.065674,0.005387,0.021937,0.177069,0.034421,18.156,4.455,23.234
50,2.976,clean,0.557677,0.557677,0.002429,0.003478,0.018926,0.005636,0.027107,0.093304,0.008470,0.024789,0.218913,0.039270,18.390,4.446,23.391
51,3.029,clean,0.603714,0.603714,0.002234,0.004186,0.010754,0.004451,0.035874,0.076521,0.006933,0.023054,0.197549,0.034730,18.226,4.438,23.212
52,3.082,clean,0.573439,0.573439,0.002286,0.003734,0.013365,0.004632,0.027711,0.084250,0.007132,0.023416,0.224140,0.035895,18.181,4.422,23.160
53,3.134,clean,0.525485,0.525485,0.002592,0.002874,0.033794,0.006346,0.018199,0.114041,0.010507,0.024033,0.224288,0.037840,18.152,4.452,23.164
54,3.187,clean,0.459491,0.459491,0.002403,0.001737,0.082799,0.007191,0.006406,0.081270,0.013624,0.013056,0.312335,0.019686,18.228,4.453,23.257
55,3.239,clean,0.449937,0.449937,0.002562,0.001907,0.080131,0.007534,0.007089,0.090827,0.011319,0.014554,0.312031,0.022110,18.236,4.458,23.319
56,3.292,clean,0.458086,0.458086,0.002508,0.002008,0.070801,0.007015,0.007244,0.091964,0.012494,0.015078,0.310157,0.022645,18.297,4.457,23.310
57,3.344,clean,0.462884,0.462884,0.002631,0.002784,0.045278,0.007626,0.012981,0.103648,0.013452,0.021317,0.296195,0.031203,18.448,4.454,23.461
58,3.402,clean,0.467477,0.467477,0.002543,0.002805,0.044808,0.007777,0.014055,0.103940,0.013383,0.021309,0.292505,0.029397,18.374,4.441,23.379
59,3.455,clean,0.477983,0.477983,0.002354,0.002376,0.054902,0.007334,0.010784,0.093383,0.014036,0.016894,0.294489,0.025466,18.293,4.437,23.367
60,3.508,clean,0.478981,0.478981,0.002509,0.002597,0.048290,0.008026,0.014303,0.106097,0.012554,0.020602,0.274573,0.031468,18.370,4.447,23.372
61,3.561,clean,0.473277,0.473277,0.002392,0.002453,0.055305,0.007541,0.010966,0.095867,0.011994,0.017209,0.298194,0.024802,18.335,4.450,23.333
62,3.614,clean,0.487516,0.487516,0.002140,0.002178,0.050133,0.006384,0.009336,0.090832,0.011646,0.015397,0.301320,0.023120,18.144,4.451,23.159
63,3.667,clean,0.529456,0.529456,0.002842,0.003307,0.026269,0.006496,0.023965,0.105533,0.010212,0.027243,0.221156,0.043521,18.445,4.452,23.461
64,3.719,clean,0.609820,0.609820,0.001923,0.003728,0.009591,0.004051,0.031755,0.076814,0.005680,0.022197,0.201467,0.032973,18.198,4.469,23.280
65,3.772,clean,0.568685,0.568685,0.002627,0.004817,0.013505,0.005727,0.039862,0.082106,0.008447,0.026093,0.206486,0.041644,18.427,4.454,23.454
66,3.825,clean,0.509529,0.509529,0.002727,0.002703,0.045137,0.007325,0.016167,0.115655,0.011626,0.023723,0.228344,0.037065,18.409,4.455,23.430
67,3.878,clean,0.523238,0.523238,0.002876,0.003377,0.029447,0.006154,0.021169,0.106391,0.010457,0.024517,0.234182,0.038192,18.240,4.451,23.264
68,3.931,clean,0.521607,0.521607,0.002831,0.003332,0.027991,0.006523,0.022685,0.110727,0.009798,0.027174,0.223173,0.044160,18.374,4.451,23.459
69,3.984,clean,0.506908,0.506908,0.003054,0.003164,0.037675,0.006929,0.019603,0.117989,0.012288,0.026865,0.222822,0.042704,18.322,4.449,23.324
70,4.037,clean,0.532061,0.532061,0.002808,0.003324,0.026919,0.006226,0.023003,0.104218,0.010285,0.026488,0.226376,0.038294,18.534,4.432,23.536
71,4.090,clean,0.489454,0.489454,0.002786,0.002616,0.053891,0.007702,0.013994,0.111893,0.012442,0.021884,0.249854,0.033482,18.377,4.452,23.391
72,4.143,clean,0.487850,0.487850,0.002640,0.002232,0.062882,0.007050,0.010242,0.103471,0.012732,0.017981,0.265164,0.027757,18.848,4.455,23.840
73,4.197,clean,0.481897,0.481897,0.002590,0.002358,0.061182,0.007319,0.010497,0.104543,0.010631,0.019015,0.271700,0.028267,18.346,4.451,23.372
74,4.251,clean,0.547562,0.547562,0.002570,0.003576,0.021843,0.005921,0.025851,0.096242,0.009283,0.024776,0.224258,0.038119,19.785,4.461,24.868
75,4.305,clean,0.466562,0.466562,0.002984,0.002694,0.058156,0.008604,0.013948,0.112639,0.013462,0.023150,0.260016,0.037787,19.208,4.468,24.300
76,4.360,clean,0.497094,0.497094,0.002803,0.002641,0.054411,0.007582,0.014233,0.110655,0.013962,0.021440,0.242441,0.032739,19.431,4.463,24.513
77,4.422,clean,0.485001,0.485001,0.002901,0.003242,0.039131,0.007530,0.018125,0.116256,0.012728,0.025140,0.252674,0.037272,18.515,4.443,23.515
78,4.475,clean,0.494699,0.494699,0.002964,0.004726,0.018535,0.006193,0.028128,0.088344,0.009369,0.026777,0.280748,0.039517,18.404,4.446,23.474
79,4.528,clean,0.524532,0.524532,0.002356,0.004636,0.012662,0.005318,0.029643,0.079490,0.007688,0.023688,0.275704,0.034282,18.512,4.450,23.548
80,4.580,clean,0.452562,0.452562,0.002738,0.003070,0.049009,0.008043,0.013599,0.096869,0.016409,0.019177,0.308010,0.030515,18.266,4.444,23.279
81,4.633,clean,0.472407,0.472407,0.002839,0.003841,0.027520,0.006786,0.019854,0.097916,0.013022,0.023041,0.296318,0.036456,18.265,4.463,23.301
82,4.687,clean,0.512554,0.512554,0.002886,0.005308,0.014745,0.006116,0.034928,0.078225,0.012101,0.026573,0.262938,0.043626,18.705,4.508,23.766
83,4.740,clean,0.488002,0.488002,0.002898,0.004667,0.022746,0.007022,0.027415,0.085568,0.011985,0.024369,0.292229,0.033099,18.093,4.485,23.076
84,4.794,clean,0.519760,0.519760,0.002782,0.003885,0.023124,0.006584,0.026645,0.096182,0.011160,0.025540,0.245043,0.039295,18.681,4.537,23.976
85,4.849,clean,0.535615,0.535615,0.002752,0.004815,0.012828,0.005435,0.033993,0.080369,0.008130,0.026608,0.249220,0.040236,20.125,4.451,25.152
86,4.902,clean,0.480886,0.480886,0.002652,0.003193,0.038215,0.007349,0.017183,0.107123,0.011832,0.021377,0.279368,0.030823,18.549,4.447,23.556
87,4.955,clean,0.468865,0.468865,0.002380,0.002475,0.049067,0.006920,0.010769,0.097348,0.011476,0.017233,0.308365,0.025102,18.317,4.448,23.374
88,5.008,clean,0.490014,0.490014,0.002419,0.002709,0.041361,0.006742,0.013106,0.102275,0.011802,0.019462,0.284088,0.026020,18.434,4.467,23.451
89,5.061,clean,0.482822,0.482822,0.002320,0.002451,0.051800,0.007596,0.011944,0.096657,0.012651,0.017636,0.287837,0.026286,18.402,4.452,23.426
90,5.114,clean,0.473309,0.473309,0.002173,0.002082,0.059432,0.006970,0.008524,0.090435,0.010124,0.015395,0.311322,0.020235,18.402,4.446,23.403
91,5.167,clean,0.481315,0.481315,0.002474,0.002485,0.050625,0.007256,0.011977,0.105163,0.012303,0.019184,0.279329,0.027891,18.720,4.475,23.761
92,5.221,clean,0.474373,0.474373,0.002551,0.002421,0.058972,0.008074,0.011947,0.105497,0.012224,0.020060,0.275650,0.028232,19.462,4.440,24.439
93,5.276,clean,0.514183,0.514183,0.002833,0.003107,0.035964,0.007240,0.021552,0.112140,0.011453,0.026655,0.224657,0.040216,20.133,4.468,25.165
94,5.331,clean,0.506141,0.506141,0.002380,0.002338,0.049199,0.007228,0.013851,0.105188,0.012513,0.020565,0.249097,0.031500,18.832,4.537,24.201
95,5.385,clean,0.490954,0.490954,0.002230,0.002332,0.050453,0.007089,0.011303,0.100560,0.011572,0.017290,0.280657,0.025561,19.423,4.418,24.377
96,5.445,clean,0.449200,0.449200,0.002488,0.002308,0.062133,0.007442,0.008569,0.092713,0.012828,0.016523,0.322004,0.023790,20.196,4.457,25.233
97,5.499,clean,0.532885,0.532885,0.002390,0.003278,0.021946,0.005494,0.020828,0.096529,0.008824,0.021604,0.253122,0.033100,18.872,4.446,23.929
98,5.552,clean,0.545742,0.545742,0.002849,0.003984,0.020884,0.006467,0.031510,0.095613,0.010103,0.026727,0.215723,0.040397,18.550,4.471,23.630
99,5.606,clean,0.501583,0.501583,0.002736,0.002699,0.044367,0.007098,0.015407,0.115732,0.011510,0.023970,0.239470,0.035429,18.450,4.445,23.455
100,5.660,clean,0.496501,0.496501,0.002773,0.003163,0.038410,0.006791,0.016872,0.114862,0.011876,0.022088,0.254125,0.032538,18.459,4.469,23.510
101,5.714,clean,0.476228,0.476228,0.002375,0.002189,0.062927,0.007214,0.009327,0.094783,0.012476,0.016059,0.293590,0.022833,19.436,4.453,24.462
102,5.767,clean,0.520628,0.520628,0.002491,0.003373,0.026008,0.006260,0.021464,0.094670,0.011068,0.022271,0.256334,0.035434,18.695,4.454,23.768
103,5.820,clean,0.505362,0.505362,0.002686,0.003121,0.034104,0.006963,0.018961,0.113989,0.010331,0.024736,0.244340,0.035409,18.833,4.466,23.867
104,5.873,clean,0.528365,0.528365,0.002724,0.003125,0.031870,0.006680,0.021958,0.110642,0.010736,0.024067,0.221964,0.037869,18.590,4.449,23.634
105,5.926,clean,0.532938,0.532938,0.002551,0.002869,0.029771,0.006222,0.020508,0.107632,0.010912,0.023970,0.223370,0.039259,18.404,4.445,23.422
106,5.978,clean,0.514308,0.514308,0.002727,0.002851,0.038039,0.006657,0.017433,0.116596,0.012332,0.023649,0.227614,0.037795,18.242,4.439,23.238
107,6.031,clean,0.502724,0.502724,0.002498,0.002475,0.049642,0.007180,0.013306,0.110526,0.011098,0.022069,0.248305,0.030177,18.540,4.435,23.560
108,6.084,clean,0.498811,0.498811,0.002562,0.002476,0.049158,0.007315,0.013877,0.110161,0.012114,0.021203,0.249330,0.032991,18.413,4.428,23.393
109,6.137,clean,0.480433,0.480433,0.002510,0.002420,0.060024,0.007678,0.011094,0.101984,0.012210,0.018516,0.275908,0.027222,18.432,4.437,23.422
110,6.191,clean,0.504152,0.504152,0.002629,0.002957,0.037000,0.007218,0.018345,0.113214,0.011787,0.024316,0.242921,0.035462,19.881,4.454,24.930
111,6.247,clean,0.528195,0.528195,0.002842,0.003816,0.022675,0.005995,0.024977,0.094029,0.011471,0.024809,0.239366,0.041826,20.095,4.463,25.117
112,6.302,clean,0.471678,0.471678,0.002540,0.002418,0.056099,0.007450,0.011171,0.104283,0.011451,0.019276,0.287313,0.026321,19.402,4.435,24.427
113,6.357,clean,0.589570,0.589570,0.002215,0.004196,0.011379,0.004512,0.032862,0.075897,0.007456,0.022288,0.213399,0.036226,20.743,4.461,25.730
114,6.411,clean,0.532736,0.532736,0.002621,0.003345,0.023693,0.006043,0.024322,0.099779,0.009436,0.024988,0.235174,0.037862,18.842,4.452,23.891
115,6.469,clean,0.595745,0.595745,0.002265,0.004874,0.009189,0.004393,0.039442,0.073593,0.006072,0.024259,0.205296,0.034873,19.306,4.467,24.341
116,6.523,clean,0.507352,0.507352,0.002717,0.003018,0.037835,0.007042,0.018332,0.114056,0.012237,0.023790,0.235355,0.038264,18.774,4.465,23.874
117,6.577,clean,0.512510,0.512510,0.002347,0.002352,0.045451,0.006982,0.013631,0.105536,0.011372,0.020683,0.246872,0.032264,18.390,4.458,23.401
118,6.630,clean,0.605975,0.605975,0.002051,0.004442,0.008809,0.004077,0.035660,0.068281,0.006288,0.021436,0.210927,0.032055,18.113,4.444,23.118
119,6.684,clean,0.536056,0.536056,0.002476,0.003765,0.017930,0.005836,0.027196,0.090055,0.008803,0.025065,0.243689,0.039129,19.297,4.446,24.319
120,6.737,clean,0.532767,0.532767,0.002642,0.003856,0.020137,0.006054,0.027144,0.091728,0.009646,0.025325,0.242218,0.038484,18.428,4.452,23.446
121,6.790,clean,0.559777,0.559777,0.002657,0.004357,0.016070,0.005339,0.030697,0.080633,0.009453,0.023199,0.229824,0.037994,18.435,4.440,23.382
122,6.845,clean,0.504505,0.504505,0.002586,0.004340,0.016089,0.005548,0.025350,0.083134,0.009012,0.023579,0.291159,0.034697,20.005,4.450,25.021
123,6.900,clean,0.516721,0.516721,0.002807,0.003055,0.034376,0.006825,0.020457,0.115409,0.010509,0.026728,0.224015,0.039098,19.800,4.448,24.798
124,6.955,clean,0.492342,0.492342,0.002788,0.002739,0.047196,0.007488,0.015483,0.117608,0.011950,0.023219,0.243856,0.035332,19.911,4.453,24.954
125,7.011,clean,0.508100,0.508100,0.002537,0.002457,0.044778,0.006842,0.013756,0.110030,0.010533,0.022161,0.247095,0.031712,20.702,4.449,25.814
126,7.066,clean,0.540418,0.540418,0.002323,0.003789,0.015236,0.005189,0.025637,0.084086,0.008110,0.023222,0.255386,0.036604,19.312,4.462,24.338
127,7.121,clean,0.462893,0.462893,0.002308,0.001870,0.074543,0.007117,0.007064,0.084366,0.012234,0.013567,0.313305,0.020732,19.223,4.462,24.258
128,7.175,clean,0.480307,0.480307,0.002259,0.001844,0.069213,0.006738,0.007434,0.090108,0.010618,0.014380,0.296605,0.020494,19.213,4.478,24.338
129,7.231,clean,0.485946,0.485946,0.002487,0.002258,0.060358,0.007237,0.010150,0.099819,0.012677,0.018500,0.272004,0.028562,19.614,4.449,24.639
130,7.286,clean,0.502057,0.502057,0.002719,0.002592,0.047500,0.006716,0.013154,0.114968,0.012631,0.021275,0.243423,0.032965,20.388,4.467,25.407
131,7.339,clean,0.502171,0.502171,0.002446,0.002527,0.042290,0.006804,0.014068,0.109499,0.011645,0.020451,0.256510,0.031589,18.753,4.450,23.838
132,7.395,clean,0.495920,0.495920,0.002100,0.002060,0.052693,0.006405,0.009177,0.094633,0.009920,0.016223,0.289057,0.021811,20.044,4.465,25.111
133,7.451,clean,0.509640,0.509640,0.002615,0.002880,0.036498,0.006523,0.016608,0.113780,0.012176,0.021955,0.241934,0.035391,19.257,4.484,24.318
134,7.506,clean,0.481365,0.481365,0.002316,0.002310,0.056701,0.007302,0.010354,0.098569,0.011503,0.017218,0.287894,0.024468,18.402,4.441,23.406
135,7.560,clean,0.495805,0.495805,0.002646,0.002581,0.045841,0.007385,0.014603,0.113970,0.010761,0.023578,0.250260,0.032570,18.852,4.457,23.894
136,7.614,clean,0.456546,0.456546,0.002677,0.002810,0.053912,0.008039,0.011804,0.098445,0.014368,0.018895,0.304358,0.028148,18.397,4.435,23.403
137,7.667,clean,0.536115,0.536115,0.002580,0.005149,0.011712,0.005189,0.034763,0.073179,0.008478,0.023516,0.262659,0.036660,18.512,4.465,23.604
138,7.721,clean,0.478129,0.478129,0.002649,0.002763,0.044547,0.007251,0.013909,0.110636,0.012788,0.021366,0.275222,0.030740,18.312,4.453,23.339
139,7.774,clean,0.514559,0.514559,0.002682,0.003867,0.020141,0.005925,0.024828,0.089556,0.010687,0.023527,0.266397,0.037831,18.267,4.450,23.271
140,7.828,clean,0.499348,0.499348,0.002673,0.003674,0.021488,0.006085,0.022102,0.096210,0.009150,0.025262,0.275583,0.038425,18.268,4.451,23.300
141,7.881,clean,0.468973,0.468973,0.002721,0.002552,0.060467,0.008214,0.012262,0.099895,0.014375,0.018884,0.282343,0.029314,18.412,4.450,23.428
142,7.934,clean,0.557445,0.557445,0.002387,0.003521,0.019127,0.005399,0.024875,0.090493,0.008779,0.023013,0.228397,0.036565,18.376,4.450,23.395
143,7.986,clean,0.516277,0.516277,0.002498,0.002772,0.035948,0.006906,0.018214,0.116540,0.010567,0.023575,0.231255,0.035446,18.183,4.462,23.200
144,8.039,clean,0.543642,0.543642,0.002463,0.004410,0.013098,0.005325,0.031262,0.080729,0.007615,0.024277,0.249177,0.038002,18.237,4.459,23.310
145,8.092,clean,0.545880,0.545880,0.002828,0.003787,0.020421,0.006037,0.028648,0.096601,0.009270,0.027559,0.216850,0.042118,18.293,4.442,23.303
146,8.145,clean,0.514898,0.514898,0.003065,0.003595,0.028603,0.006701,0.024409,0.107515,0.011328,0.026639,0.229747,0.043500,18.331,4.445,23.333
147,8.198,clean,0.500661,0.500661,0.002689,0.003167,0.031811,0.006583,0.018573,0.109902,0.010496,0.023943,0.256391,0.035786,18.735,4.438,23.749
148,8.254,clean,0.475214,0.475214,0.002603,0.002330,0.063413,0.007800,0.010850,0.101793,0.013248,0.018810,0.277088,0.026851,20.879,4.464,25.901
149,8.311,clean,0.496882,0.496882,0.002904,0.002890,0.044230,0.007036,0.014969,0.119517,0.013371,0.022802,0.237353,0.038046,20.672,4.447,25.731
150,8.366,clean,0.461155,0.461155,0.002581,0.002070,0.074616,0.007674,0.008259,0.091566,0.013312,0.015819,0.299353,0.023596,19.544,4.457,24.558
151,8.421,clean,0.456291,0.456291,0.003033,0.003156,0.052100,0.009001,0.016917,0.109924,0.015835,0.023023,0.276550,0.034170,19.667,4.443,24.664
152,8.475,clean,0.505971,0.505971,0.002366,0.002409,0.045647,0.006886,0.013182,0.107619,0.010845,0.020628,0.253700,0.030747,19.073,4.440,24.139
153,8.531,clean,0.454413,0.454413,0.002584,0.001819,0.080593,0.007071,0.006447,0.089313,0.012517,0.014637,0.309973,0.020634,20.539,4.438,25.763
154,8.585,clean,0.524424,0.524424,0.002677,0.002938,0.032024,0.006460,0.019631,0.111855,0.010085,0.025644,0.225036,0.039227,18.459,4.446,23.483
155,8.639,clean,0.463056,0.463056,0.002478,0.001837,0.077162,0.007290,0.007053,0.087053,0.011339,0.014420,0.306762,0.021551,18.678,4.443,23.744
156,8.693,clean,0.515144,0.515144,0.002390,0.002480,0.041704,0.006939,0.015510,0.113043,0.011264,0.021746,0.236650,0.033130,18.274,4.455,23.257
157,8.748,clean,0.476643,0.476643,0.003219,0.003398,0.037815,0.007650,0.019698,0.124023,0.011377,0.028393,0.244439,0.043345,19.720,4.438,24.726
158,8.802,clean,0.508826,0.508826,0.002905,0.003342,0.032068,0.007060,0.022026,0.110336,0.011546,0.025460,0.236867,0.039563,18.266,4.439,23.262
159,8.855,clean,0.540277,0.540277,0.002802,0.004158,0.019306,0.006482,0.033235,0.093111,0.009363,0.027108,0.222097,0.042061,18.339,4.451,23.410
160,8.908,clean,0.486614,0.486614,0.002503,0.002329,0.053793,0.007361,0.011576,0.106358,0.011792,0.019537,0.269733,0.028402,18.286,4.447,23.310
161,8.960,clean,0.457341,0.457341,0.002618,0.002210,0.068238,0.007718,0.009165,0.097293,0.012705,0.017481,0.301076,0.024155,18.320,4.453,23.348
162,9.014,clean,0.503236,0.503236,0.002256,0.002279,0.049304,0.007004,0.011861,0.099567,0.011240,0.018016,0.267085,0.028153,18.236,4.441,23.242
163,9.068,clean,0.485311,0.485311,0.002761,0.002651,0.050900,0.007331,0.012854,0.110310,0.013614,0.021035,0.262100,0.031132,18.447,4.462,23.467
164,9.120,clean,0.501995,0.501995,0.002874,0.003275,0.032695,0.006807,0.019536,0.110580,0.012379,0.024498,0.248093,0.037267,18.392,4.436,23.400
165,9.173,clean,0.474933,0.474933,0.002444,0.002406,0.056038,0.007263,0.010431,0.097190,0.011821,0.018166,0.295345,0.023962,18.331,4.453,23.347
166,9.227,clean,0.457090,0.457090,0.002836,0.003396,0.035413,0.007166,0.016508,0.112167,0.010820,0.023656,0.298848,0.032099,18.169,4.513,23.258
167,9.281,clean,0.436492,0.436492,0.003563,0.005673,0.021934,0.007341,0.026024,0.089686,0.013897,0.026878,0.329132,0.039378,19.492,4.445,24.487
